source,target,relation,weight,evidence
PRODUCT:5029,CAPACITY:40GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO NEGRO 40GR CON TAPA
PRODUCT:5030,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO NEGRO 60GR CON TAPA
PRODUCT:5030,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO NEGRO 60GR CON TAPA
PRODUCT:5030,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO NEGRO 60GR CON TAPA
PRODUCT:5030,COLOR:NEGRO,HAS_COLOR,0.94,PASTILLERO PLASTICO NEGRO 60GR CON TAPA
PRODUCT:5030,CAPACITY:60GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO NEGRO 60GR CON TAPA
PRODUCT:5031,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO NEGRO 90GR CON TAPA
PRODUCT:5031,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO NEGRO 90GR CON TAPA
PRODUCT:5031,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO NEGRO 90GR CON TAPA
PRODUCT:5031,COLOR:NEGRO,HAS_COLOR,0.94,PASTILLERO PLASTICO NEGRO 90GR CON TAPA
PRODUCT:5031,CAPACITY:90GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO NEGRO 90GR CON TAPA
PRODUCT:5032,TYPE:ACCESORIO,HAS_TYPE,0.9,PASTILLERO PLASTICO NEGRO 120GR CON TAPA
PRODUCT:5032,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,PASTILLERO PLASTICO NEGRO 120GR CON TAPA
PRODUCT:5032,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,PASTILLERO PLASTICO NEGRO 120GR CON TAPA
PRODUCT:5032,COLOR:NEGRO,HAS_COLOR,0.94,PASTILLERO PLASTICO NEGRO 120GR CON TAPA
PRODUCT:5032,CAPACITY:120GR,HAS_CAPACITY,0.95,PASTILLERO PLASTICO NEGRO 120GR CON TAPA
PRODUCT:5033,TYPE:FRASCO,HAS_TYPE,0.93,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28
PRODUCT:5033,ACCESSORY:TAPA,HAS_ACCESSORY,0.88,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28
PRODUCT:5033,MATERIAL:PLASTICO,HAS_MATERIAL,0.94,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28
PRODUCT:5033,COLOR:NATURAL,HAS_COLOR,0.94,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28
PRODUCT:5033,CAPACITY:30ML,HAS_CAPACITY,0.95,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28
