product_id,product_name,supplier,supplier_norm,supplier_options,effective_unit_cost,reference_unit_cost,edge_weight,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,is_negative_edge,scenario_type
5274,GOTERO VIDRIO PAVONADO 30ML B18 TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,1,1.5,1.5,0.0,0.0,0.0,50,2050,2,2026-02-28,False,at_or_above_reference
5275,SOLO TAPA PRESS N28.,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,2,0.24112,0.52056,-0.27944,0.27944,0.536807,500,2000,1,2026-02-26,True,historical_saving
5275,SOLO TAPA PRESS N28.,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.8,0.52056,0.27944,-0.27944,-0.536807,100,2050,1,2025-06-26,False,at_or_above_reference
5276,POTE CREMERO DOBLE FONDO BLANCO IMPORTADO 30GR C/TAPA Y LAINA,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,1.85,1.925,-0.075,0.075,0.038961,100,2050,2,2025-08-25,True,historical_saving
5276,POTE CREMERO DOBLE FONDO BLANCO IMPORTADO 30GR C/TAPA Y LAINA,VIPLASTIC S.A.C.,VIPLASTIC S A C,2,2.0,1.925,0.075,-0.075,-0.038961,100,250,1,2026-02-28,False,at_or_above_reference
5277,POTE CREMERO DOBLE FONDO 60GR BLANCO C/TAPA Y LAINA NACIONAL,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,3,1.3,1.5,-0.2,0.2,0.133333,25,2050,2,2025-08-23,True,historical_saving
5277,POTE CREMERO DOBLE FONDO 60GR BLANCO C/TAPA Y LAINA NACIONAL,MULTIGLASS & PLASTIC E.I.R.L.,MULTIGLASS PLASTIC E I R L,3,1.5,1.5,0.0,0.0,0.0,100,2350,3,2026-03-19,False,at_or_above_reference
5277,POTE CREMERO DOBLE FONDO 60GR BLANCO C/TAPA Y LAINA NACIONAL,VIPLASTIC S.A.C.,VIPLASTIC S A C,3,1.6,1.5,0.1,-0.1,-0.066667,175,250,1,2025-09-10,False,at_or_above_reference
5278,POTE PASTILLERO PLASTICO BLANCO 19GR C/TAPA B/20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.35,0.35,0.0,0.0,0.0,26,2050,1,2025-06-27,False,at_or_above_reference
5278,POTE PASTILLERO PLASTICO BLANCO 19GR C/TAPA B/20,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,2,0.35,0.35,0.0,0.0,0.0,50,3650,1,2025-11-11,False,at_or_above_reference
5279,POTE PASTILLERO PLASTICO BLANCO 12GR C/TAPA B/20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.32,0.3225,-0.0025,0.0025,0.007752,1500,2050,2,2026-04-11,True,historical_saving
5279,POTE PASTILLERO PLASTICO BLANCO 12GR C/TAPA B/20,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,2,0.32,0.3225,-0.0025,0.0025,0.007752,50,3650,1,2025-11-11,True,historical_saving
5280,POTE PASTILLERO PLASTICO BLANCO 10GR C/TAPA B/20,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.31,0.31,0.0,0.0,0.0,26,2050,1,2025-06-27,False,at_or_above_reference
5280,POTE PASTILLERO PLASTICO BLANCO 10GR C/TAPA B/20,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,2,0.31,0.31,0.0,0.0,0.0,50,3650,1,2025-11-11,False,at_or_above_reference
5281,GOTERO VIDRIO TRANSPARENTE 5ML C/TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,0.9,0.9,0.0,0.0,0.0,100,4424,4,2026-02-03,False,at_or_above_reference
5281,GOTERO VIDRIO TRANSPARENTE 5ML C/TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.9,0.9,0.0,0.0,0.0,100,2050,3,2026-04-13,False,at_or_above_reference
5282,FRASCO GOTERO INTERNO VIDRIO AMBAR B/18 5ML TAPA S.,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,0.7,0.7,0.0,0.0,0.0,90,4424,2,2026-02-23,False,at_or_above_reference
5282,FRASCO GOTERO INTERNO VIDRIO AMBAR B/18 5ML TAPA S.,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,2,0.7,0.7,0.0,0.0,0.0,100,2050,2,2025-07-07,False,at_or_above_reference
