product_id,product_name,best_supplier,reference_unit_cost,effective_unit_cost,bellman_ford_distance,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,has_negative_edge
5514,PIPETA SEREOLOGICA GRADUADA VIDRIO 25ML,CORPORACION PROMELAB E.I.R.L.,11.833334,6.0,-5.833334,5.833334,0.492958,2.0,1250.0,3,2026-04-06,True
5409,FIOLA VOLUMETRICA GRADUADO DE VIDRIO 1000ML - BOECO,CORPORACION PROMELAB E.I.R.L.,23.333333,20.0,-3.333333,3.333333,0.142857,5.0,1250.0,3,2026-04-17,True
5516,FIOLA DE VIDRIO 500,CORPORACION PROMELAB E.I.R.L.,18.333333,15.0,-3.333333,3.333333,0.181818,5.0,1250.0,3,2026-03-03,True
5108,EMBUDO DE VIDRIO DE BOROSILICATO DE 100MM,CORPORACION PROMELAB E.I.R.L.,9.055,6.0,-3.055,3.055,0.337383,12.0,1250.0,4,2025-11-04,True
5383,PROBETA DE PLASTICO GRADUADA PROBETA DE PLASTICO GRADUADA 500 ML,IMPORTADORA ANDINA E.I.R.L,11.957,8.914,-3.043,3.043,0.254495,5.0,66.0,1,2025-10-21,True
5311,PROBETA PLASTICO 1L,CORPORACION PROMELAB E.I.R.L.,21.025,18.0,-3.025,3.025,0.143876,10.0,1250.0,10,2026-04-29,True
5211,PROBETA VIDRIO TRANSPARENTE 250ML,MATRAZ PERU E.I.R.L.,17.6,14.7,-2.9,2.9,0.164773,30.0,1697.0,1,2025-11-29,True
5386,VASO GRADUADO DE POLIPROPILENO 250ML-300ML,IMPORTADORA ANDINA E.I.R.L,4.463667,1.862,-2.601667,2.601667,0.582854,20.0,66.0,3,2025-10-02,True
5130,LUNA DE RELOJ DE VIDRIO DE LABORATORIO 100MM G-,MATRAZ PERU E.I.R.L.,5.15,2.8,-2.35,2.35,0.456311,130.0,1697.0,1,2025-11-29,True
5401,PROBETA VIDRIO 25ML,CORPORACION PROMELAB E.I.R.L.,7.34,5.0,-2.34,2.34,0.318801,11.0,1250.0,1,2026-02-20,True
5270,PIPETEADOR DE CREMALLERA VERDE (PUMP) 10ML,CORPORACION PROMELAB E.I.R.L.,15.333333,13.0,-2.333333,2.333333,0.152174,5.0,1250.0,3,2026-04-25,True
5113,TERMOMETRO  DIGITAL DE VASTAGO PARA COCINA DE 15CM,MATRAZ PERU E.I.R.L.,7.75,5.5,-2.25,2.25,0.290323,100.0,1697.0,1,2025-10-06,True
5131,CEPILLO DE LIMPIEZA PARA TUBO DE ENSAYO  13*100MM,CORPORACION PROMELAB E.I.R.L.,2.7,0.6,-2.1,2.1,0.777778,10.0,1250.0,4,2026-02-26,True
5353,FRAGANCIA CHICA FRESA 10ML,INVERSIONES AGO S.A.C.,3.0,1.0,-2.0,2.0,0.666667,25.0,6084.0,2,2025-08-11,True
5354,FRAGANCIA CHICLE 10ML,INVERSIONES AGO S.A.C.,3.0,1.0,-2.0,2.0,0.666667,25.0,6084.0,2,2025-08-11,True
5355,FRAGANCIA CT. PRIMAVERA POETT 10ML,INVERSIONES AGO S.A.C.,3.0,1.0,-2.0,2.0,0.666667,25.0,6084.0,2,2025-08-11,True
5357,FRAGANCIA LIMON EXTREMO 10ML,INVERSIONES AGO S.A.C.,3.0,1.0,-2.0,2.0,0.666667,25.0,6084.0,2,2025-08-11,True
5399,BARRA AGITADORA MAGNETICA C300 30*7.5 MM (AGITADOR MAGNETICO),CORPORACION PROMELAB E.I.R.L.,9.0,7.0,-2.0,2.0,0.222222,14.0,1250.0,3,2026-04-07,True
5351,FRAGANCIA BEBE POETT 10ML,INVERSIONES AGO S.A.C.,2.7,0.9,-1.8,1.8,0.666667,25.0,6084.0,2,2025-08-11,True
5352,FRAGANCIA BRISA MARINA 10ML,INVERSIONES AGO S.A.C.,2.7,0.9,-1.8,1.8,0.666667,25.0,6084.0,2,2025-08-11,True
5356,FRAGANCIA LAVANDA CT POETT 10ML,INVERSIONES AGO S.A.C.,2.7,0.9,-1.8,1.8,0.666667,25.0,6084.0,2,2025-08-11,True
5358,FRAGANCIA MANZANA 10ML,INVERSIONES AGO S.A.C.,2.7,0.9,-1.8,1.8,0.666667,25.0,6084.0,2,2025-08-11,True
5141,LAMINILLA CUBREOBJETO 22*22MM*100UND,CORPORACION PROMELAB E.I.R.L.,3.777778,2.0,-1.777778,1.777778,0.470588,30.0,1250.0,9,2026-04-25,True
5189,MECHERO DE ALCOHOL 150ML,CORPORACION PROMELAB E.I.R.L.,5.677,4.0,-1.677,1.677,0.295403,13.0,1250.0,7,2026-02-10,True
5486,VASO COPLIN PARA 5 LAMINAS VERTICAL,CORPORACION PROMELAB E.I.R.L.,16.666667,15.0,-1.666667,1.666667,0.1,10.0,1250.0,3,2025-11-13,True
5097,BURETA DE VIDRIO GRADUADO DE 25 ML CON LLAVE DE VIDRIO,CORPORACION PROMELAB E.I.R.L.,19.599999,18.0,-1.599999,1.599999,0.081633,2.0,1250.0,5,2026-04-17,True
