product_id,product_name,total_value,sale_lines,value_share,cumulative_share,abc_class
6,MATERIAL MEDICO cajon mascarillas coreanas blancas,420.0,1,0.001984,0.714216,A
6,MATERIAL MEDICO 1 cajon mascarillas fish coreanas blancas,420.0,1,0.001984,0.7162,A
5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),402.0,39,0.001899,0.718099,A
5615,CUCHARA DE POLIETILENO PARA STEVIA,400.0,2,0.001889,0.719988,A
5372,FRASCO VIDRIO TRANSPARENTE 458ML C/TAPA 82,399.7,18,0.001888,0.721876,A
5124,POTE VIDRIO AMBAR 500GR IMPORTADO C/TAPA,396.9,17,0.001875,0.723751,A
5090,PROBETA DE VIDRIO GRADUADA C/PICO 50 ML G-,396.0,25,0.00187,0.725621,A
5222,FRASCO PET AMBAR 120ML B28 C/TAPA GATILLO,394.5,23,0.001863,0.727484,A
5264,FRASCO DE  VIDRIO BOCA ANCHA TAPA AZUL 500ML,394.0,8,0.001861,0.729345,A
5119,FRASCO PET CAMPANA TRANSPARENTE 500ML B/28 TAPA ESPRAY PISTOLA..,392.3,34,0.001853,0.731198,A
5498,FRASCO PET AMBAR 120ML C/TAPA Y TAPON N28,391.5,5,0.001849,0.733047,A
5250,TUBO CONICO CON TAPA ROSCA DE 15ML NO ESTERIL,386.5,9,0.001825,0.734872,A
5141,LAMINILLA CUBREOBJETO 22*22MM*100UND,382.0,20,0.001804,0.736676,A
5259,FRASCO DE VIDRIO BOCA ANCHA TAPA AZUL 1L NIU S/20.0,381.0,9,0.001799,0.738475,A
5197,TUBO COLAPSIBLE BLANCO 120ML C/TAPA,379.4,9,0.001792,0.740267,A
5181,POTE CREMERO DOBLE FONDO C/ CINTILLO PLATEADO 50GR C/TAPA Y LAINA,375.9,16,0.001775,0.742042,A
5035,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,371.6,20,0.001755,0.743797,A
5255,VASELINERO 7GR,371.5,29,0.001755,0.745552,A
5194,FRASCO ESMALTE VIDRIO TRANSPARENTE 10ML C/BROCHA Y TAPA,367.1,20,0.001734,0.747286,A
5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,363.5,34,0.001717,0.749003,A
5249,SOLO MINI TRIGGER NEGRO B28,362.5,32,0.001712,0.750715,A
5271,"GUANTES DE NITRILO ALTO RIESGO GATAMO 5s, 5m, 5l",360.0,1,0.0017,0.752415,A
5027,PASTILLERO PLASTICO BLANCO 90GR CON TAPA,360.0,5,0.0017,0.754115,A
5361,FRASCO ESPARRAGUERO 370ML C/TAPA 63,356.4,5,0.001683,0.755798,A
5226,DESACADOR 300MM,350.0,1,0.001653,0.757451,A
5101,POTE VIDRIO AMBAR IMPORTADO 250GR B45 C/TAPA,348.8,26,0.001647,0.759098,A
5469,BALANZA DIGITAL,345.0,9,0.001629,0.760727,A
5203,POTE PLASTICO BLANCO TIPO ANALISIS 120GR C/TAPA,344.9,5,0.001629,0.762356,A
5024,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,344.525,34,0.001627,0.763983,A
5362,FRASCO ESPARRAGUERO 212ML C/TAPA METALICA N58,336.6,8,0.00159,0.765573,A
5256,TALQUERA PLASTICO 140GR C/TAPA Y REJILLA,335.6,15,0.001585,0.767158,A
5276,POTE CREMERO DOBLE FONDO BLANCO IMPORTADO 30GR C/TAPA Y LAINA,334.0,11,0.001577,0.768735,A
5046,FRASCO PLASTICO BLANCO 250ML CON TAPA Y TAPON N28,333.7,18,0.001576,0.770311,A
5127,CUCHARA CON ESPATULA DE METAL 20CM,333.11,17,0.001573,0.771884,A
5281,GOTERO VIDRIO TRANSPARENTE 5ML C/TAPA Y CHUPON,331.1,9,0.001564,0.773448,A
5419,GOTERO PLASTICO BLANCO 30ML C/TAPA Y TAPON N15,330.15,10,0.001559,0.775007,A
5134,POTE CREMERO VIDRIO TRANSPARENTE 50GR C/TAPA METALIZADA Y LAINA,329.4,26,0.001556,0.776563,A
5426,TERMOMETRO DE MERCURIO LARGO,325.0,3,0.001535,0.778098,A
5424,GRADILLA CUBIERTA DE PLASTICO 3*4,323.0,22,0.001526,0.779624,A
5191,MORTERO DE 150MM C/PILON,322.0,10,0.001521,0.781145,A
5370,FRASCO VIDRIO TRANSPARENTE ESPARRAGUERO 315ML C/TAPA 63,318.5,5,0.001504,0.782649,A
5174,FRASCO VIDRIO TRANSPARENTE 250ML C/TAPA DE METAL,317.40000000000003,16,0.001499,0.784148,A
5350,PAPEL INDICADOR DE PH,310.5,14,0.001466,0.785614,A
5293,PERFUME VIDRIO TRANSPARENTE CUADRADO 30ML TAPA ESPRAY METALIZADA N18 todo plomo,310.0,1,0.001464,0.787078,A
10,EQUIPOS DE SEGURIDAD REPSIRADOR 3M 8247,300.0,1,0.001417,0.788495,A
5346,PHMETRO COMBO SUELOS 4 EN 1 (PH-HUMEDAD-TEMP-LUZ SOLAR) TPH01803,300.0,5,0.001417,0.789912,A
5158,FRASCO VIDRIO AMBAR 100ML C/TAPA Y TAPON B18,297.3,9,0.001404,0.791316,A
5192,FRASCO PET CAMPANA BLANCO 300ML C/TAPA DISPENSADOR N28..,295.1,29,0.001394,0.79271,A
5217,FRASCO PET TRANSPARENTE 120ML TAPA Y TAPON B28,292.6,12,0.001382,0.794092,A
5470,PLACA PETRI DE 60*15MM SIN DIVISION PLASTICO (BLS10),291.0,7,0.001374,0.795466,A
5313,FRASCO PET DE COLORES CILINDRICO 120ML C/TAPA ESPRAY N20,289.70000000000005,19,0.001368,0.796834,A
5514,PIPETA SEREOLOGICA GRADUADA VIDRIO 25ML,287.0,4,0.001355,0.798189,A
5367,FRASCO 4 ONZAS C/TAPA 63,286.9,8,0.001355,0.799544,A
5414,PET JABONERA 37GR 400ML C/TAPA DISPENSADOR B28,282.5,8,0.001334,0.800878,B
5026,PASTILLERO PLASTICO BLANCO 60GR CON TAPA,280.4,13,0.001324,0.802202,B
5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,279.4,17,0.00132,0.803522,B
5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,279.0,36,0.001318,0.80484,B
5125,FRASCO PET TRANSPARENTE 120ML CON TAPA ESPRAY N28,277.4,33,0.00131,0.80615,B
5365,FRASCO VID TRANSPARENTE 370ML BAJO C/TAPA 77,275.6,13,0.001302,0.807452,B
5104,MORTERO DE 100MM C/PILON,274.5,17,0.001296,0.808748,B
5361,FRASCO ESPARRAGUERO 370ML C/TAPA 63 TAPA NEGRA,270.0,1,0.001275,0.810023,B
5240,VIAL VIDRIO TRANSPARENTE ALTO 15ML B20,266.0,4,0.001256,0.811279,B
5033,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28,264.3,5,0.001248,0.812527,B
5331,BOTELLA PET TRANSPARENTE 120ML B28 SIN TAPA con tapa y tapon,264.0,1,0.001247,0.813774,B
5189,MECHERO DE ALCOHOL 150ML,262.0,12,0.001237,0.815011,B
5196,TUBO COLAPSIBLE BLANCO 100ML C/TAPA,262.0,9,0.001237,0.816248,B
5516,FIOLA DE VIDRIO 500,261.0,4,0.001233,0.817481,B
5291,FRASCO ROLL-ON VIDRIO TRANSPARENTE 3ML C/TAPA Y TAPON 90 blanco 10negro,260.0,1,0.001228,0.818709,B
5409,FIOLA VOLUMETRICA GRADUADO DE VIDRIO 1000ML - BOECO,258.0,3,0.001219,0.819928,B
5383,PROBETA DE PLASTICO GRADUADA 500 ML,257.0,6,0.001214,0.821142,B
5239,VIAL VIDRIO TRANSPARENTE 10ML B20 C/TAPA BUTILO,256.7,12,0.001212,0.822354,B
5093,PROBETA DE PLASTICO GRADUADA 50 ML,253.4999932,19,0.001197,0.823551,B
5366,FRASCO COLMENA 746 C/TAPA 77,252.25,6,0.001191,0.824742,B
6,"MATERIAL MEDICO 5M, 5S, 3L",247.0,1,0.001167,0.825909,B
