product_id,product_name,query,query_tokens,matched_tokens,unmatched_tokens,matched_attributes_json,retrievability_score,top1_found,top5_found,top10_found,best_match_product_id,best_match_product_name,best_match_score
5487,CRISOL 40ML,CRISOL 40ML,CRISOL|40ML,40ML,CRISOL,"{""capacity_text"": [""40ML""]}",0.5,True,True,True,5487,CRISOL 40ML,3.311
5488,FRASCO GOTERO VIDRIO TRANSPARENTE 50ML C/TAPA Y CHUPON,FRASCO GOTERO VIDRIO TRANSPARENTE 50ML C/TAPA Y CHUPON,FRASCO|GOTERO|VIDRIO|TRANSPARENTE|50ML|TAPA|CHUPON,GOTERO|VIDRIO|TRANSPARENTE|50ML|TAPA|CHUPON,FRASCO,"{""product_type"": [""GOTERO""], ""subtype"": [""CHUPON""], ""accessory"": [""CHUPON"", ""TAPA""], ""material"": [""VIDRIO""], ""color"": [""TRANSPARENTE""], ""capacity_text"": [""50ML""], ""material_family"": [""VIDRIO""]}",0.8571,True,True,True,5488,FRASCO GOTERO VIDRIO TRANSPARENTE 50ML C/TAPA Y CHUPON,3.7159
5489,"GRADILLA MULTIFUNCIONAL PARA TUBOS CONICOS DE 10ML, 15ML Y 50ML","GRADILLA MULTIFUNCIONAL PARA TUBOS CONICOS DE 10ML, 15ML Y 50ML",GRADILLA|MULTIFUNCIONAL|TUBOS|CONICOS|10ML|15ML|50ML,10ML,GRADILLA|MULTIFUNCIONAL|TUBOS|CONICOS|15ML|50ML,"{""capacity_text"": [""10ML""]}",0.1429,True,True,True,5489,"GRADILLA MULTIFUNCIONAL PARA TUBOS CONICOS DE 10ML, 15ML Y 50ML",2.921
5490,VASO GRADUADO DE PLASTICO 500ML,VASO GRADUADO DE PLASTICO 500ML,VASO|GRADUADO|PLASTICO|500ML,GRADUADO|PLASTICO|500ML,VASO,"{""feature"": [""GRADUADO""], ""material"": [""PLASTICO""], ""capacity_text"": [""500ML""], ""material_family"": [""PLASTICO""]}",0.75,True,True,True,5490,VASO GRADUADO DE PLASTICO 500ML,3.5911
5491,PIPETAS PASTEUR ESTRILES 1ML BX100,PIPETAS PASTEUR ESTRILES 1ML BX100,PIPETAS|PASTEUR|ESTRILES|1ML|BX100,1ML,PIPETAS|PASTEUR|ESTRILES|BX100,"{""capacity_text"": [""1ML""]}",0.2,True,True,True,5491,PIPETAS PASTEUR ESTRILES 1ML BX100,2.981
5492,SOPORTE DE BURETA O ABRAZADERA DE METAL,SOPORTE DE BURETA O ABRAZADERA DE METAL,SOPORTE|BURETA|ABRAZADERA|METAL,METAL,SOPORTE|BURETA|ABRAZADERA,"{""material"": [""METAL""], ""material_family"": [""METAL""]}",0.25,True,True,True,5492,SOPORTE DE BURETA O ABRAZADERA DE METAL,3.036
5493,PAPEL FILTRO WHATMAN N42 DIAM 125MM (CJ100),PAPEL FILTRO WHATMAN N42 DIAM 125MM (CJ100),PAPEL|FILTRO|WHATMAN|N42|DIAM|125MM|CJ100,PAPEL,FILTRO|WHATMAN|N42|DIAM|125MM|CJ100,"{""material"": [""PAPEL""], ""material_family"": [""PAPEL""]}",0.1429,True,True,True,5493,PAPEL FILTRO WHATMAN N42 DIAM 125MM (CJ100),2.9251
5494,CEPILLO DE LIMPIEZA PARA TUBO DE ENSAYO 16*150MM,CEPILLO DE LIMPIEZA PARA TUBO DE ENSAYO 16*150MM,CEPILLO|LIMPIEZA|TUBO|ENSAYO|16|150MM,TUBO|ENSAYO,CEPILLO|LIMPIEZA|16|150MM,"{""product_type"": [""TUBO""], ""subtype"": [""ENSAYO"", ""TUBO""]}",0.3333,True,True,True,5494,CEPILLO DE LIMPIEZA PARA TUBO DE ENSAYO 16*150MM,3.1328
5495,FRASCO PLASTICO INSECTICIDA 250ML C/TAPA Y TAPON,FRASCO PLASTICO INSECTICIDA 250ML C/TAPA Y TAPON,FRASCO|PLASTICO|INSECTICIDA|250ML|TAPA|TAPON,FRASCO|PLASTICO|250ML|TAPA,INSECTICIDA|TAPON,"{""product_type"": [""FRASCO""], ""accessory"": [""TAPA""], ""material"": [""PLASTICO""], ""capacity_text"": [""250ML""], ""material_family"": [""PLASTICO""]}",0.6667,True,True,True,5495,FRASCO PLASTICO INSECTICIDA 250ML C/TAPA Y TAPON,3.5041
5496,VASO DE PLASTICO 500ML,VASO DE PLASTICO 500ML,VASO|PLASTICO|500ML,PLASTICO|500ML,VASO,"{""material"": [""PLASTICO""], ""capacity_text"": [""500ML""], ""material_family"": [""PLASTICO""]}",0.6667,True,True,True,5496,VASO DE PLASTICO 500ML,3.4972
5497,CAJA PARA PORTAOBJETOS *25UND,CAJA PARA PORTAOBJETOS *25UND,CAJA|PORTAOBJETOS|25UND,CAJA,PORTAOBJETOS|25UND,"{""product_type"": [""CAJA""]}",0.3333,True,True,True,5497,CAJA PARA PORTAOBJETOS *25UND,3.1328
5498,FRASCO PET AMBAR 120ML C/TAPA Y TAPON N28,FRASCO PET AMBAR 120ML C/TAPA Y TAPON N28,FRASCO|PET|AMBAR|120ML|TAPA|TAPON|N28,FRASCO|PET|AMBAR|120ML|TAPA,TAPON|N28,"{""product_type"": [""FRASCO""], ""accessory"": [""TAPA""], ""material"": [""PET""], ""color"": [""AMBAR""], ""capacity_text"": [""120ML""]}",0.7143,True,True,True,5498,FRASCO PET AMBAR 120ML C/TAPA Y TAPON N28,3.5614
5499,POTE DOBLE FONDO BLANCO IMPORTADO 60GR C/TAPA Y LAINA,POTE DOBLE FONDO BLANCO IMPORTADO 60GR C/TAPA Y LAINA,POTE|DOBLE|FONDO|BLANCO|IMPORTADO|60GR|TAPA|LAINA,POTE|BLANCO|IMPORTADO|60GR|TAPA|LAINA,DOBLE|FONDO,"{""product_type"": [""POTE""], ""subtype"": [""LAINA""], ""accessory"": [""LAINA"", ""TAPA""], ""feature"": [""IMPORTADO""], ""color"": [""BLANCO""], ""capacity_text"": [""60GR""]}",0.75,True,True,True,5499,POTE DOBLE FONDO BLANCO IMPORTADO 60GR C/TAPA Y LAINA,3.598
5500,"GRADILLA PARA CRIOVIALES TAPA PRESION (EPPENDORF) 0.5ML, 1.5ML Y 2ML","GRADILLA PARA CRIOVIALES TAPA PRESION (EPPENDORF) 0.5ML, 1.5ML Y 2ML",GRADILLA|CRIOVIALES|TAPA|PRESION|EPPENDORF|5ML|2ML,TAPA|5ML,GRADILLA|CRIOVIALES|PRESION|EPPENDORF|2ML,"{""accessory"": [""TAPA""], ""capacity_text"": [""5ML""]}",0.2857,True,True,True,5500,"GRADILLA PARA CRIOVIALES TAPA PRESION (EPPENDORF) 0.5ML, 1.5ML Y 2ML",3.0804
5501,LANCETERO NIPRO PREMIER UNIVERSAL,LANCETERO NIPRO PREMIER UNIVERSAL,LANCETERO|NIPRO|PREMIER|UNIVERSAL,,LANCETERO|NIPRO|PREMIER|UNIVERSAL,{},0.0,True,True,True,5501,LANCETERO NIPRO PREMIER UNIVERSAL,2.7569
